attach,http://iota-fn01.sairai.de:14265 score: 8.372034450367554 scoreNorm: 0.06487597680862969
602,37,0
721,31,1
590,25,2
473,37,3
6613,33,4
1021,38,5
972,37,6
567,4046,7
828,31,8
1264,31,9
443,31,10
664,37,11
822,24,12
1128,42,13
1119,27,14
1078,79,15
854,38,16
867,44,17
288,43,18
885,24,19
1368,42,20
1222,36,21
587,29,22
597,28,23
909,22,24
1088,22,25
1453,29,26
572,40,27
973,82,28
684,20,29
1852,21,30
1162,20,31
1211,38,32
979,26,33
805,33,34
864,32,35
622,19,36
503,20,37
1274,39,38
775,34,39
636,19,40
1098,529,41
1476,44,42
491,37,43
621,38,44
