attach,UDOARXDFIDUCODUM9XFXRZVOZMYLXRENS9UAWOXEP9GDRTMHSELKNIGNLWSOPBMPAQGHBFTNCUKHCBCCR https://wallet2.iota.town:443
1212,0
5490,1
2386,2
1577,3
2047,4
2520,5
1392,6
3757,7
4165,8
1338,9
2818,10
2421,11
-1,12
1196,13
5291,14
2029,15
743,16
1781,17
2015,18
6171,19
2891,20
3884,21
6613,22
2430,23
1621,24
7166,25
2026,26
808,27
3810,28
1200,29
1313,30
3630,31
5134,32
1806,33
4120,34
2899,35
5756,36
6146,37
4027,38
1959,39
1901,40
1033,41
4816,42
1737,43
2433,44
